id_formation,titre,description,objectif_pédagogique,public_cible,prérequis,thématique,sous-thématique,niveau,durée,format,langue,certification,plateforme_source,prix,date_mise_a_jour,mots_clés,note_utilisateurs,nombre_avis,taux_de_succès
2d595a8f-7a43-477f-8f16-b939ca8a68cb,Formation en Paie pour Débutants,"Apprenez Paie à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Paie et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en ressources humaines est recommandé.,Ressources Humaines,Paie,Avancé,30,PDF,FR,Non - Certificat de Paie,edX,305,2023-08-08,"Kubernetes, UX, Linux, HTML, Machine Learning, Projet, SQL",4.1,255,78
e64e0a99-4dd4-48e2-93e4-765eeff9f325,Formation en Machine Learning pour Experts,"Apprenez Machine Learning à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Machine Learning et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en intelligence artificielle est recommandé.,Intelligence Artificielle,Machine Learning,Avancé,70,PDF,FR,Non,Udemy,418,2023-09-24,"Git, UX, Deep Learning, Cloud, Sécurité, Machine Learning",3.5,2561,53
3a91f677-0897-4c8f-a2eb-d03574edfb41,Formation en Anglais Professionnel pour Experts,"Apprenez Anglais Professionnel à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Anglais Professionnel et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en langues est recommandé.,Langues,Anglais Professionnel,Facile,26,Projet,EN,Oui,OpenClassrooms,355,2023-10-15,"HTML, SQL, Figma, Projet, Cryptographie, Scrum, Agile",3.5,2609,58
85af9ede-cfca-4d10-99d6-796775b5c145,Formation en Lean Management pour Experts,"Apprenez Lean Management à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Lean Management et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en gestion de projet est recommandé.,Gestion de Projet,Lean Management,Facile,58,Podcast,FR,Non,Coursera,284,2023-08-28,"CSS, Agile, SEO, Scrum, HTML, Docker",3.2,2425,41
458dacad-7c02-48a8-b889-abb8982ed606,Formation en Flask pour Débutants,"Apprenez Flask à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Flask et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en développement web est recommandé.,Développement Web,Flask,Facile,65,Podcast,EN,Non,FutureLearn,460,2024-09-12,"Agile, Cloud, SQL, SEO, Scrum",4.2,1408,72
f6abea15-cb01-4f03-b4e3-85efd14c1831,Formation en Formation des Employés pour Experts,"Apprenez Formation des Employés à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Formation des Employés et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en ressources humaines est recommandé.,Ressources Humaines,Formation des Employés,Avancé,8,Projet,FR,Oui,OpenClassrooms,0,2025-03-06,"Sécurité, React, Machine Learning, HTML",3.0,2064,62
81a7be1e-03d9-471c-8307-0039a55ccf93,Formation en Français Langue Étrangère pour Intermédiaires,"Apprenez Français Langue Étrangère à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Français Langue Étrangère et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en langues est recommandé.,Langues,Français Langue Étrangère,Avancé,5,Podcast,EN,Non,OpenClassrooms,460,2023-11-24,"Git, Figma, Deep Learning, HTML, Publicité, Scrum, Projet",4.0,814,91
095287d0-0e40-48d4-bfd6-62a935f6672d,Formation en Big Data pour Débutants,"Apprenez Big Data à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Big Data et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en data science est recommandé.,Data Science,Big Data,Avancé,62,Vidéo,FR,Non,FutureLearn,349,2025-01-30,"Deep Learning, Django, UI, Cryptographie, Cloud, UX, Kubernetes, Python",3.7,1596,74
b6028b2b-4301-4d36-bdc0-537590af9d82,Formation en Espagnol des Affaires pour Experts,"Apprenez Espagnol des Affaires à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Espagnol des Affaires et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en langues est recommandé.,Langues,Espagnol des Affaires,Avancé,5,Vidéo,EN,Non - Certificat de Espagnol des Affaires,Coursera,392,2025-01-20,"Python, Linux, UX, Cloud",4.5,1876,74
7ddd8e23-9cc7-47e4-8a24-2f1b4a756c5b,Formation en AWS pour Experts,"Apprenez AWS à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de AWS et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en cloud computing est recommandé.,Cloud Computing,AWS,Facile,66,Podcast,FR,Oui - Certificat de AWS,FutureLearn,243,2025-01-08,"Projet, Figma, Cryptographie, HTML, UI, SQL, Linux",4.4,2879,47
ebe5acd4-4abe-4d16-99e9-e79f3c2ce5ee,Formation en MLOps pour Intermédiaires,"Apprenez MLOps à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de MLOps et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en intelligence artificielle est recommandé.,Intelligence Artificielle,MLOps,Intermédiaire,69,Quiz,FR,Oui,OpenClassrooms,266,2024-01-06,"Big Data, Cryptographie, CSS, Publicité, Machine Learning, Figma, HTML, Scrum",4.2,438,46
c0cc169a-1f59-4002-89fc-e15852f58ea6,Formation en SQL pour Intermédiaires,"Apprenez SQL à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de SQL et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en data science est recommandé.,Data Science,SQL,Facile,61,Projet,FR,Oui - Certificat de SQL,OpenClassrooms,242,2024-07-03,"Django, Figma, CSS, Linux, SQL",3.7,1081,84
208c68d1-dba4-4265-b90c-737c7d0e11e7,Formation en SQL pour Experts,"Apprenez SQL à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de SQL et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en data science est recommandé.,Data Science,SQL,Facile,24,Vidéo,EN,Oui,FutureLearn,250,2025-01-05,"SQL, Python, Publicité, Agile, Cryptographie, CSS, Big Data",3.7,2556,90
cc739b1b-2d15-4a03-a97e-fea629a0d171,Formation en SIEM pour Intermédiaires,"Apprenez SIEM à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de SIEM et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en cybersécurité est recommandé.,Cybersécurité,SIEM,Intermédiaire,63,PDF,EN,Non,Coursera,0,2024-09-30,"Projet, SQL, Machine Learning, Cryptographie, Python, CSS, Cloud, Figma",4.9,1839,59
7e2cabc3-2aed-4cef-8a55-31cf0cc4a061,Formation en Kubernetes pour Intermédiaires,"Apprenez Kubernetes à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Kubernetes et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en cloud computing est recommandé.,Cloud Computing,Kubernetes,Avancé,27,Quiz,FR,Non,Udemy,61,2024-04-01,"Figma, Big Data, Docker, Cloud, Projet, Publicité, Git, Cryptographie",3.4,1116,61
aaa620c6-6603-4567-8f8d-eeb26f9f4f32,Formation en NLP pour Débutants,"Apprenez NLP à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de NLP et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en intelligence artificielle est recommandé.,Intelligence Artificielle,NLP,Intermédiaire,72,PDF,FR,Non - Certificat de NLP,edX,0,2025-03-03,"Publicité, Machine Learning, Agile, Cryptographie, SQL, SEO, React, CSS",3.8,2197,40
0a2710be-5443-4805-8af3-7e3c59141e56,Formation en Machine Learning pour Experts,"Apprenez Machine Learning à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Machine Learning et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en intelligence artificielle est recommandé.,Intelligence Artificielle,Machine Learning,Avancé,59,PDF,FR,Oui,LinkedIn Learning,81,2023-11-06,"Scrum, Projet, Big Data, Deep Learning, Cloud, Git, CSS, React",4.4,2168,93
7f7e2982-d97b-4592-a0df-f9c7c11c9882,Formation en Recrutement pour Experts,"Apprenez Recrutement à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Recrutement et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en ressources humaines est recommandé.,Ressources Humaines,Recrutement,Facile,61,Projet,FR,Non,Fun-MOOC,216,2024-09-18,"CSS, HTML, React, Scrum",4.6,1154,78
8afc4b50-4f1f-4d37-98e7-016f4c7af03c,Formation en Paie pour Intermédiaires,"Apprenez Paie à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Paie et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en ressources humaines est recommandé.,Ressources Humaines,Paie,Avancé,62,Podcast,FR,Non - Certificat de Paie,FutureLearn,0,2025-01-23,"Cloud, Cryptographie, UX, HTML, Projet",3.3,2160,91
511e14b1-222e-4d01-9466-e79ec7ae3c01,Formation en Pentesting pour Experts,"Apprenez Pentesting à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Pentesting et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en cybersécurité est recommandé.,Cybersécurité,Pentesting,Intermédiaire,60,PDF,EN,Oui - Certificat de Pentesting,FutureLearn,154,2023-11-16,"Machine Learning, UX, Agile, HTML",4.8,2682,56
2035eb50-6e84-4717-b745-2f5612d4cce7,Formation en Contrôle de Gestion pour Débutants,"Apprenez Contrôle de Gestion à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Contrôle de Gestion et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en finance & comptabilité est recommandé.,Finance & Comptabilité,Contrôle de Gestion,Avancé,72,Projet,FR,Non,edX,301,2025-01-10,"UX, React, Python, Contrôle de Gestion",3.7,2885,53
591cb403-2bce-4269-ba18-6576bb53bbbd,Formation en Azure pour Débutants,"Apprenez Azure à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Azure et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en cloud computing est recommandé.,Cloud Computing,Azure,Avancé,18,Podcast,FR,Non,Coursera,404,2024-06-24,"Publicité, CSS, React, Kubernetes, UX, Sécurité, Deep Learning",3.2,1572,72
d6eebe51-6943-439c-945c-a2dc81b80fbf,Formation en Adobe XD pour Débutants,"Apprenez Adobe XD à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Adobe XD et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en design & création est recommandé.,Design & Création,Adobe XD,Facile,33,PDF,EN,Non - Certificat de Adobe XD,Udemy,0,2025-03-14,"Kubernetes, HTML, Cryptographie, Adobe XD",4.0,2466,78
1fdece44-5e76-4059-98cf-cdd0db6fa1ff,Formation en AWS pour Intermédiaires,"Apprenez AWS à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de AWS et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en cloud computing est recommandé.,Cloud Computing,AWS,Avancé,52,Projet,EN,Non,edX,370,2025-05-01,"UX, AWS, Git, SQL, Scrum, Cloud, Figma",3.5,2715,66
48fe2743-477e-4761-be8d-c9d7be03330b,Formation en Analyse de Données pour Débutants,"Apprenez Analyse de Données à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Analyse de Données et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en data science est recommandé.,Data Science,Analyse de Données,Intermédiaire,7,Projet,FR,Non,LinkedIn Learning,427,2024-04-26,"SEO, Cloud, Machine Learning, Projet, HTML",3.9,133,51
1bf63cdc-83df-4374-bab9-4004dfcc230f,Formation en Google Ads pour Débutants,"Apprenez Google Ads à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Google Ads et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en marketing digital est recommandé.,Marketing Digital,Google Ads,Avancé,64,PDF,EN,Non - Certificat de Google Ads,LinkedIn Learning,115,2023-07-16,"Scrum, Python, Publicité, HTML, Big Data, Sécurité, Docker",4.5,1852,68
a654d5cc-d892-4bbb-acf3-e453d695ce42,Formation en Figma pour Intermédiaires,"Apprenez Figma à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Figma et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en design & création est recommandé.,Design & Création,Figma,Facile,59,Quiz,EN,Oui - Certificat de Figma,Udemy,0,2024-10-05,"Cryptographie, UX, CSS, Sécurité, Big Data, Projet, Linux",4.8,840,64
8d2f5681-6741-441e-b6e2-f75a5d37780b,Formation en Social Media Marketing pour Intermédiaires,"Apprenez Social Media Marketing à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Social Media Marketing et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en marketing digital est recommandé.,Marketing Digital,Social Media Marketing,Avancé,45,Projet,EN,Non - Certificat de Social Media Marketing,edX,500,2023-09-25,"Git, Big Data, Publicité, Kubernetes, Python, HTML",3.7,1043,62
ad4232ca-acb4-4405-8e36-bd17b28ae06a,Formation en Big Data pour Débutants,"Apprenez Big Data à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Big Data et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en data science est recommandé.,Data Science,Big Data,Avancé,74,Vidéo,FR,Non - Certificat de Big Data,Udemy,374,2023-11-02,"Figma, Django, Publicité, UI, Projet",3.2,1198,72
66cac342-f618-4775-b0fd-de803dd80b57,Formation en Spark pour Intermédiaires,"Apprenez Spark à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Spark et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en data science est recommandé.,Data Science,Spark,Intermédiaire,64,Podcast,EN,Oui,Fun-MOOC,489,2024-08-21,"CSS, Git, UI, React",4.0,2931,90
f93ed873-77af-46c7-b388-c13973c04397,Formation en AWS pour Débutants,"Apprenez AWS à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de AWS et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en cloud computing est recommandé.,Cloud Computing,AWS,Avancé,9,Podcast,EN,Oui,OpenClassrooms,348,2023-08-16,"SQL, Deep Learning, Big Data, AWS",3.0,1646,46
acf06d48-2755-41be-856b-83da795e9dc9,Formation en Docker pour Débutants,"Apprenez Docker à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Docker et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en cloud computing est recommandé.,Cloud Computing,Docker,Facile,62,Vidéo,EN,Non - Certificat de Docker,edX,433,2024-07-04,"SQL, Publicité, HTML, Docker, Machine Learning, Big Data",3.0,536,89
b322c1f1-5943-4abf-b04d-161cd9979aff,Formation en Figma pour Débutants,"Apprenez Figma à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Figma et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en design & création est recommandé.,Design & Création,Figma,Avancé,41,Quiz,FR,Oui - Certificat de Figma,OpenClassrooms,0,2025-01-26,"Agile, Kubernetes, Projet, Django",3.6,2464,64
acfd2550-8ac6-4b4e-872d-34984b91fe9a,Formation en Anglais Professionnel pour Intermédiaires,"Apprenez Anglais Professionnel à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Anglais Professionnel et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en langues est recommandé.,Langues,Anglais Professionnel,Facile,32,Podcast,EN,Oui - Certificat de Anglais Professionnel,OpenClassrooms,400,2024-10-09,"Docker, Projet, HTML, Scrum",4.5,2171,61
590e40e8-bcc3-4996-b917-4a5db7796da3,Formation en JavaScript pour Débutants,"Apprenez JavaScript à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de JavaScript et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en développement web est recommandé.,Développement Web,JavaScript,Facile,11,PDF,EN,Oui - Certificat de JavaScript,Fun-MOOC,325,2023-07-01,"Cryptographie, JavaScript, Cloud, UX, Linux, Python, Machine Learning",3.6,2040,61
412bfb02-fce4-4921-94d2-23be69b0e4d5,Formation en Google Ads pour Intermédiaires,"Apprenez Google Ads à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Google Ads et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en marketing digital est recommandé.,Marketing Digital,Google Ads,Facile,7,Quiz,FR,Non,Coursera,490,2024-10-23,"UI, Publicité, Sécurité, Projet, Django, Google Ads, Cryptographie",3.2,2387,59
8e70fe41-5ee4-4d87-9e68-644453910bc9,Formation en Paie pour Intermédiaires,"Apprenez Paie à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Paie et les appliquer dans des projets concrets.",Débutants,Avoir des connaissances de base en ressources humaines est recommandé.,Ressources Humaines,Paie,Intermédiaire,44,Vidéo,FR,Non - Certificat de Paie,OpenClassrooms,273,2023-11-27,"UI, CSS, Sécurité, Python, Big Data, Paie, Projet",4.3,2207,92
d77504c1-0ec4-40bf-a3f3-43c00049d950,Formation en Flask pour Intermédiaires,"Apprenez Flask à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Flask et les appliquer dans des projets concrets.",Experts,Avoir des connaissances de base en développement web est recommandé.,Développement Web,Flask,Intermédiaire,14,Projet,FR,Non,Fun-MOOC,453,2024-06-17,"Flask, Linux, Sécurité, React, Docker, Agile, Kubernetes, Git",4.8,101,95
b92b0754-6253-4416-aa4f-9d3136ecd5e6,Formation en Kanban pour Intermédiaires,"Apprenez Kanban à travers cette formation complète. Vous découvrirez les concepts clés, des cas pratiques et des outils indispensables pour maîtriser ce domaine.","À l'issue de cette formation, vous saurez maîtriser les fondamentaux de Kanban et les appliquer dans des projets concrets.",Intermédiaires,Avoir des connaissances de base en gestion de projet est recommandé.,Gestion de Projet,Kanban,Intermédiaire,69,Podcast,FR,Non,Udemy,269,2025-01-12,"SEO, CSS, Git, Cloud, Agile, Kubernetes, Publicité",3.9,1291,81
